date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:52	26/26	---M--	200	added ('OK')	text/plain	etag:W/%221a-153358cbdb7%22	http://linify.me/robots.txt		(from )
13:59:53	9727/9727	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Feb%202021%2010:10:38%20GMT	http://linify.me/	C:/My%20Web%20Sites/linify/linify.me/index.html	(from )
13:59:54	6060/6060	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Mar%202016%2005:11:03%20GMT	http://linify.me/stylesheets/style.css	C:/My%20Web%20Sites/linify/linify.me/stylesheets/style.css	(from http://linify.me/)
13:59:54	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/linify/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://linify.me/)
13:59:54	571/571	---M--	200	added ('OK')	image/png	etag:W/%2223b-1534df17f83%22	http://linify.me/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-57x57.png	(from http://linify.me/)
13:59:55	578/578	---M--	200	added ('OK')	image/png	etag:W/%22242-1534df17f83%22	http://linify.me/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-60x60.png	(from http://linify.me/)
13:59:55	663/663	---M--	200	added ('OK')	image/png	etag:W/%22297-1534df17f83%22	http://linify.me/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-72x72.png	(from http://linify.me/)
13:59:55	638/638	---M--	200	added ('OK')	image/png	etag:W/%2227e-1534df17f83%22	http://linify.me/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-76x76.png	(from http://linify.me/)
13:59:56	847/847	---M--	200	added ('OK')	image/png	etag:W/%2234f-1534df17f83%22	http://linify.me/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-114x114.png	(from http://linify.me/)
13:59:56	829/829	---M--	200	added ('OK')	image/png	etag:W/%2233d-1534df17f83%22	http://linify.me/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-120x120.png	(from http://linify.me/)
13:59:56	972/972	---M--	200	added ('OK')	image/png	etag:W/%223cc-1534df17f83%22	http://linify.me/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-144x144.png	(from http://linify.me/)
13:59:57	1036/1036	---M--	200	added ('OK')	image/png	etag:W/%2240c-1534df17f83%22	http://linify.me/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-152x152.png	(from http://linify.me/)
13:59:57	1132/1132	---M--	200	added ('OK')	image/png	etag:W/%2246c-1534df17f83%22	http://linify.me/apple-touch-icon-180x180.png	C:/My%20Web%20Sites/linify/linify.me/apple-touch-icon-180x180.png	(from http://linify.me/)
13:59:57	457/457	---M--	200	added ('OK')	image/png	etag:W/%221c9-1534df17f83%22	http://linify.me/favicon-32x32.png	C:/My%20Web%20Sites/linify/linify.me/favicon-32x32.png	(from http://linify.me/)
